date range,"start_date: 2019-09-15, end_date: 2019-09-22"
comparisons,country
filters,"feature: [""paid advertising""]"
unique,true

country,installs,START_TRIAL
PH,267,10
AE,417,20
KW,261,8
PK,84,2
EG,87,0
IL,60,3
NP,19,1
NG,44,3
SA,65,3
AL,46,0
JO,12,0
,27,2
US,24,1
TR,31,2
KH,15,2
MN,24,0
TN,0,0
JM,21,1
SE,19,2
LK,9,0
UG,11,0
TZ,11,1
LA,2,0
GH,9,0
DZ,0,0
ZW,9,1
CA,9,0
SG,8,0
RU,2,0
IE,8,1
BZ,10,0
CY,7,0
ZM,6,0
ZA,4,0
LB,4,0
TT,5,0
IN,1,0
AT,4,0
GM,5,0
OM,7,0
NA,7,1
QA,10,1
GB,3,0
MU,7,0
MO,2,0
KZ,0,0
BT,4,0
MY,6,1
DE,1,0
MT,2,0
SL,1,0
NZ,1,0
FJ,5,0
CH,4,0
KE,2,0
AU,3,0
MD,2,0
AZ,1,0
BH,1,0
MK,3,0
LT,3,0
YE,1,0
UA,2,0
SR,1,0
EC,2,0
FR,0,0
BW,1,0
RO,0,0
HK,0,0
ID,1,0
BB,1,0
UZ,3,0
SN,0,0
IQ,1,0
GD,0,0
KG,0,0
GR,1,0
AO,2,0
GY,0,0
MX,0,0
NL,0,0
MR,0,0
AG,0,0
PL,2,0
NO,0,0
MG,0,0
BJ,0,0
MW,1,0
ES,0,0
DO,0,0
TH,0,0
FI,1,0
JP,1,0
SI,1,0
KY,1,0
AI,4,0
CN,0,0
NE,0,0
IT,0,0
LC,1,0
RS,1,0
BR,2,1
DJ,0,0
SC,0,0
CO,0,0
AM,0,0
BG,0,0
TJ,0,0
LU,0,0
PT,0,0
MZ,0,0
HN,0,0
AR,0,0
BN,0,0
LR,0,0
EE,0,0
BM,1,0
BS,1,0
LV,1,0
HU,1,0
VE,0,0
ML,0,0
DM,0,0
CZ,0,0
GW,0,0
GT,0,0
PW,0,0
CL,0,0
TD,0,0
DK,0,0
SB,0,0
PA,0,0
PE,1,0
HR,1,0
BO,0,0
CV,0,0
PG,0,0
CR,0,0
KN,0,0
TC,0,0
SZ,0,0
TW,0,0
BY,0,0
BF,0,0
SK,0,0
VI,0,0
BA,1,0
SV,1,0
PY,1,0
VN,0,0
